Compound,LogKp,MW,LogP,HBD,HBA,LogS,TPSA (Å^2),Molecular Volume
"1,1,1-Trichloropropanone",-5.176,161.41,1.859,0,1,-2.188,17.07,105.29
"1,1-Dichloropropanone",-4.923,126.96,1.388,0,1,-0.964,17.07,92.08
"1,2,4-Benzenetriol",-7.456,126.111,1.063,3,3,-0.141,60.69,108.1
1-Butanol,-7.778,74.123,0.805,1,1,-0.21,20.23,87.62
1-Decanol,-9.653,158.285,3.473,1,1,-3.451,"	20.23",188.43
1-Dodecyl glycidyl ether,-9.036,242.403,4.846,0,2,-5.37,21.76,271.57
1-Heptanol,-8.158,116.204,2.139,1,1,-1.844,20.23,138.03
1-Hexanol,-7.84,102.177,1.694,1,1,-1.303,20.23,121.22
1-Hexyl-2-Pyrrolidone,-5.028,169.268,1.857,0,1,-2.319,20.31,184.54
1-Methoxy-2-Propanol,-6.459,90.122,-0.149,1,2,0.504,"	29.46",96.39
1-Nonanol,-9.079,144.258,3.028,1,1,-2.918,20.23,171.63
1-Octanol,-8.556,130.231,2.584,1,1,-2.383,20.23,154.83
1-Octyl-2-Pyrrolidone,-4.827,197.322,2.746,0,1,-3.37,20.31,218.14
1-Pentanol,-7.849,88.15,1.25,1,1,-0.758,20.23,104.42
1-Propanol,-7.352,60.096,0.361,1,1,0.341,20.23,70.82
17-Hydroxyprogesterone,-6.778,330.468,3.401,1,3,-4.674,54.37,326.76
"2,3-Butanediol",-7.857,90.122,-0.376,2,2,0.363,40.46,95.45
"2,4,6-Trichlorophenol",-4.783,197.44,3.482,1,1,-3.296,20.23,132.67
"2,4-Dichlorophenol",-4.778,163,2.878,1,1,2.514,20.23,119.13
2-(2-Ethoxyethoxy)ethanol,-7.436,134.175,-0.256,1,3,0.386,38.69,139.19
2-(2-Methoxyethoxy)ethanol,-7.242,120.148,-0.613,1,3,0.748,38.69,122.39
2-Amino-4-Nitrophenol,-8.079,154.125,0.781,2,4,-1.539,89.39,126.68
2-Butoxyethanol,-7.226,118.176,0.758,1,2,-0.444,29.46,130.21
2-Ethoxyethanol,-7.687,90.122,-0.209,1,2,0.517,29.46,96.6
2-Ethoxyethyl acetate,-6.649,122.167,2.628,1,1,-1.75,35.53,133.12
2-Ethylhexanol,-7.687,130.231,2.504,1,1,-2.332,20.23,154.61
2-Hydroxypropyl Nicotinate,-8.025,181.191,0.486,1,3,-0.744,59.42,166.06
2-Methoxyethanol,-6.095,76.095,-0.566,1,2,0.889,29.46,79.8
2-Naphthol,-4.757,144.173,2.659,1,1,-2.857,"	20.23",136.05
2-Nitro-p-Phenylenediamine,-6.857,153.141,0.905,2,4,-1.772,95.18,129.96
2-Phenoxyethanol,-6.43,138.166,1.125,1,2,-1.24,29.46,134.65
2-Phenylphenol,-6.355,170.211,3.317,1,1,-3.406,"	20.23",163.47
2-Propoxyethanol,-6.923,104.149,0.314,1,2,0.097,29.46,113.41
"3,4-Xylenol",-5,122.167,2.697,1,1,-1.979,20.23,125.18
"4,4'-Methylenedianiline",-6.219,198.269,2.407,2,2,-3.028,52.04,194.83
4-Amino-2-Nitrophenol,-7.622,154.125,0.781,2,4,-1.539,89.39,126.68
4-Chloro-m-phenylenediamine,-6.234,142.59,0.919,2,2,-1.794,52.04,120.16
4-Cyanophenol,-5.731,119.123,1.526,1,2,-1.221,44.02,108.92
4-Hydroxybenzyl alcohol,-6.255,124.139,0.902,2,2,-0.482,40.46,116.88
4-Hydroxyphenylacetamide,-6.903,151.165,0.5,2,2,-0.742,63.32,139.13
4-Hydroxyphenylacetic acid,-6.158,152.149,1.307,2,3,-0.645,57.53,135.86
4-Propoxyphenol,-5.38,152.193,2.391,1,2,-1.742,29.46,151.21
5-Aminolevulinic acid,-7.711,131.131,-3.253,2,4,0.555,80.39,120.31
5-Fluorouracil,-8.015,130.078,-0.656,2,2,-1.196,58.2,96.91
Acetic acid,-6.079,60.052,-0.223,1,2,0.633,37.3,56.2
Acetylsalicylic acid,-5.696,180.159,1.238,1,3,-1.849,63.6,155.57
Acyclovir,-7.079,225.208,-1.032,3,7,-1.394,114.76,187.75
Aldosterone,-9.079,360.45,1.056,2,5,-2.621,91.67,337.79
Amobarbital,-6.201,226.276,1.893,2,3,-3.091,"	75.27",216.97
Amphetamine,-8.409,135.21,1.804,1,1,-1.4,26.02,145.52
Aspartic acid,-7.585,133.103,-3.504,3,5,0.364,100.62,111.56
Atenolol,-7.857,266.341,0.425,3,4,-1.572,84.58,260.9
Atropine,-8.635,289.375,1.571,1,3,-1.614,49.77,279.01
Barbital,-7.509,184.195,0.717,2,3,-1.596,75.27,166.78
Benzene,-4.511,78.114,1.973,0,0,-1.266,0,84.04
Benzoic acid,-5.156,122.123,1.631,1,2,-1.453,37.3,111.05
Benzyl nicotinate,-5.348,213.236,2.484,0,2,-2.391,39.19,196.07
Betamethasone,-7.153,392.467,1.682,3,5,-3.947,94.83,358.07
Betamethasone-17-valerate,-5.525,476.585,3.712,2,5,-5.675,100.9,444.99
Bis(2-ethylhexyl)phthalate,-8.8,390.564,8.025,0,2,-8.344,"	52.6",407.9
Bisoprolol Fumerate,-7.125,325.449,2.196,2,5,-2.158,"	59.95",332.15
Bisphenol A diglycidyl ether,-9.875,340.419,4.019,0,4,-5.036,43.52,320.2
Boric acid,-7.199,61.83,-0.509,3,3,1.829,60.69,74.73
Bromoacetic acid,-6.41,138.948,0.499,1,2,-0.257,"	37.3",74.32
Bromochloroacetic acid,-6.352,173.39,0.786,1,2,-0.901,37.3,87.89
Bromochloroacetonitrile,-4.352,154.39,0.768,0,1,-1.062,23.79,77.74
Bromodichloromethane,-4.301,163.82,1.976,0,0,-1.866,0,74.42
Bromoform,-4.234,252.731,2.276,0,0,-2.172,0,83.12
Butan-2-one,-5.903,72.107,0.807,0,1,-0.028,17.07,81.54
Butobarbital,-7.268,212.249,1.606,2,3,-2.64,75.27,200.38
Butoxyethanol,-6.364,118.176,0.758,1,2,-0.444,29.46,130.21
Butyl 4-hydroxybenzoate,-4.538,194.23,2.997,1,2,-2.571,"	46.53",187
Butyl nicotinate,-5.335,179.219,2.083,0,2,-1.796,39.19,174.82
Butyl p-aminobenzoate,-4.607,193.246,2.472,1,2,-2.803,52.32,190.27
Caffeine,-6.828,194.194,-0.546,0,3,-0.437,58.44,167.63
Carvacrol,-4.81,150.221,3.428,1,1,-2.756,20.23,158.57
Catechol,-6.066,110.112,1.366,2,2,-0.52,40.46,100.08
Celiprolol Hydrochloride,-6.785,415.96,1.498,3,5,-3.495,"	90.9",376.51
Chloral hydrate,-5.965,165.39,0.692,2,2,-1.586,40.46,102.61
Chloroacetic acid,-6.515,94.49,0.314,1,2,-0.04,37.3,69.97
Chloroacetonitrile,-4.561,75.5,0.372,0,1,-0.386,23.79,59.83
Chlorocresol,-5,142.58,2.787,1,1,-2.021,20.23,122.16
Chlorodibromomethane,-4.255,208.28,2.126,0,0,-2.034,0,78.77
Chloroform ,-4.352,119.37,1.825,0,0,-1.666,0,70.07
Chloroxylenol,-4.651,156.61,3.301,1,1,-2.326,20.23,138.72
Chlorpheniramine,-6.491,274.79,3.585,0,2,-2.628,16.13,261.17
Chlorpyrifos,-7.158,350.57,4.784,0,1,-6.057,40.58,251.4
Clotrimazole,-9.255,344.84,5.839,0,1,-5.691,"	17.82",309.52
Codeine,-7.866,299.37,1.343,1,4,-1.828,41.93,274.21
Cortexolone,-7.681,346.467,2.584,2,4,-4.481,74.6,335.02
Cortexone,-6.903,330.468,3.331,1,3,-5.438,54.37,327.33
Corticosterone,-8.206,346.467,2.023,2,4,-3.681,74.6,335.37
Cortisone,-8.556,360.45,1.661,2,5,-2.869,91.67,337.2
Cytarabine,-8.856,243.219,-2.798,4,7,-0.535,128.61,201.84
Dexamethasone,-7.75,392.467,1.682,3,5,-3.947,94.83,358.07
Diazinon,-5.617,304.34,4.192,0,2,-3.889,53.47,273.15
Dibromoacetic acid,-6.141,217.844,0.699,1,2,-1.063,37.3,92.23
Dibromoacetonitrile,-4.326,198.845,0.681,0,1,-1.237,23.79,82.09
Dibutyl Phthalate,-9.195,278.348,4.628,0,2,-4.51,52.6,273.91
Dichloroacetic acid,-6.278,128.94,1.058,1,2,-0.709,37.3,83.54
Dichloroacetonitrile,-4.38,109.94,1.116,0,1,-0.856,23.79,73.39
Diclofenac,-6.556,296.15,4.259,2,3,-4.298,49.33,238.73
Diethyl ether,-5.352,74.123,0.838,0,1,0.054,"	9.23",88.34
Diethyl Phthalate,-8.499,222.24,2.694,0,2,-2.717,52.6,206.71
Diethylcarbamazine,-7.459,199.298,0.092,0,2,-0.351,26.79,209.62
Digitoxin,-8.442,764.95,3.597,5,12,-3.788,182.83,712.09
Dimethyl Phthalate,-8.035,194.186,1.98,0,2,-2.028,52.6,173.1
Dimethylethylamine,-6.079,73.139,0.547,0,1,0.527,3.24,91.9
Ephedrine,-6.326,165.236,1.318,2,2,-1.172,32.26,171.24
Estradiol,-5.829,272.388,3.746,2,2,-3.986,"	40.46",268.74
Estriol,-7.954,288.387,2.671,3,3,-3.63,60.69,276.78
Estrone,-6,270.372,4.309,1,2,-4.176,37.3,262.88
Ethacrynic acid,-7.38,303.14,3.656,1,4,-4.743,63.6,243.98
Ethanol,-6.699,46.069,-0.162,1,1,0.77,20.23,54.02
Ethyl 3-ethoxypropionate,-6.669,146.186,0.699,0,2,-0.451,"	35.53",149.92
Ethyl nicotinate,-5.755,151.165,1.116,0,2,-0.862,39.19,141.22
Ethyl p-aminobenzoate,-5.255,165.192,1.505,1,2,-1.875,"	52.32",156.66
Etodolac,-5.683,287.359,3.444,2,3,-4.113,"	62.32",271.8
Etorphine,-6,411.542,2.472,2,5,-2.923,"	62.16",387.59
Famotidine,-8.345,337.44,-1.95,4,8,-1.806,175.83,262.24
Fentanyl,-5.556,336.479,3.815,0,2,-4.077,23.55,340.16
Flufenamic acid,-6.111,281.234,5.249,2,3,-4.34,49.33,226.15
Fluocinonide,-6.326,494.532,2.046,1,6,-4.745,99.13,431.71
Flurbiprofen,-5.331,244.265,3.944,1,2,-4.236,"	37.3",220.77
Glyphosate,-6.894,169.073,-3.099,4,6,2.058,106.86,130.02
Haloperidol,-7.03,375.87,3.661,1,3,-4.396,40.54,336.98
Histidine,-7.812,155.157,-3.616,3,4,-0.444,92,136.79
Hydrocortisone,-9.195,362.466,1.275,3,5,-2.949,94.83,343.06
Hydrocortisone 21-(6-hydroxyhexanoate),-6.597,476.61,2.314,3,6,-3.268,121.13,455.04
Hydrocortisone 21-Hexanoate,-5.301,460.611,3.751,2,5,-5.014,100.9,446.78
Hydrocortisone 21-methylsuccinate,-7.234,475.559,2.084,2,7,-3.228,141.03,437.46
Hydrocortisone 21-octanoate,-4.764,488.665,4.64,2,5,-5.937,100.9,480.38
Hydrocortisone 21-propionate,-6.038,418.53,2.417,2,5,-3.607,100.9,396.38
Hydrocortisone 21-succinamate,-8.141,460.548,-0.813,3,7,-3.058,147.81,424.19
Hydromorphone,-8.38,285.343,1.475,1,4,-1.632,49.77,257
Hydroquinone,-8.586,110.112,1.366,2,2,-0.52,"	40.46",100.08
Hydroxypregnenolone,-6.778,332.484,2.834,2,3,-3.866,57.53,332.62
Ibuprofen,-4.996,206.285,3.844,1,2,-3.543,37.3,211.19
Indomethacin,-6.997,357.79,3.53,1,4,-4.252,68.53,303.24
Isonicotinic acid,-8.173,123.111,0.213,1,3,-0.283,"	50.19",106.89
Isoquinoline,-5.332,129.162,1.745,0,1,-2.071,12.89,123.88
Ketoprofen,-6.768,254.285,3.613,1,3,-3.854,54.37,234.83
Ketorolac,-5.799,255.273,2.283,1,3,-2.735,59.3,226.39
L-alanyl-L-tryptophan,-8.38,275.308,-1.625,4,4,-2.892,108.21,249.72
Levosimendan,-7.954,280.291,2.162,2,6,-2.783,113.43,247.42
Lidocaine,-7.021,234.343,2.843,1,2,-2.636,32.34,244.86
Lindane,-8.784,290.81,4.346,0,0,-4.211,0,183.97
Linolenic acid,-5.988,278.436,6.06,1,2,-7.167,37.3,306.47
Lysine,-7.328,146.19,-3.215,3,4,0.116,89.34,146.25
m-Cresol,-5.373,108.14,2.183,1,1,-1.439,"	20.23",108.62
m-Nitrophenol,-5.805,139.11,1.61,1,3,-1.694,63.37,115.39
Malathion,-4.249,330.35,1.857,0,2,-2.657,71.06,275.37
Mannitol,-7.923,182.172,-3.73,6,6,1.16,"	121.38",161.66
Meperidine,-5.988,247.338,2.456,0,2,-1.314,29.54,247.59
Methanol,-5.539,32.042,-0.519,1,1,1.111,"	20.23",37.21
Methotrexate,-7.503,454.447,-0.236,5,12,-3.182,210.54,387.36
Methyl 4-hydroxybenzoate,-5.632,152.149,1.673,1,2,-1.288,46.53,136.59
Methyl 4-hydroxyphenylacetate,-5.255,166.176,1.453,1,2,-0.859,46.53,153.39
Methyl nicotinate,-5.966,137.138,0.759,0,2,-0.504,39.19,124.42
Methyl p-aminobenzoate,-5.195,151.165,1.148,1,2,-1.52,52.32,139.86
Methyl salicylate,-5,152.149,2.323,1,2,-1.288,46.53,136.59
Metoprolol,-6.637,267.369,1.759,2,4,-1.696,50.72,272.98
Morphine,-9.352,285.343,0.895,2,4,-1.415,52.93,256.68
"N,N-Diethyl-m-toluamide",-8.352,191.274,2.498,0,1,-2.856,20.31,199.1
n-Hexyl nicotinate,-5.303,207.273,2.972,0,2,-2.843,"	39.19",208.43
n-Nitrosodiethanolamine,-5.944,134.135,-1.342,2,4,0.256,73.13,123.49
"N4-acetyl-4-amino-1-[(2R, 3S, 4R, 5R)-3-4-dihydroxy-5(hydroxymethyl)oxolan-2-yl] pyrimidin-2-one",-6.889,285.256,-2.866,4,7,-0.828,131.69,238.49
Naphthol,-5.141,144.173,2.659,1,1,-2.857,20.23,136.05
Naproxen,-6.096,230.263,2.986,1,3,-3.447,46.53,213.97
Nicorandil,-7.131,211.177,-0.162,1,5,-1.582,"	94.36",177.19
Nicotine,-5.546,162.236,1.163,0,2,-0.067,16.13,165.62
Nimesulide,-6.551,308.31,1.787,1,4,-3.958,98.54,248.17
Nitroglycerin,-5.556,227.085,0.257,0,9,-2.611,157.11,160.02
Nizatidine,-7.981,331.45,0.772,2,6,-1.675,83.33,293.96
o-Chlorophenol,-5.037,128.56,2.274,1,1,-1.714,20.23,105.6
o-Cresol,-5.36,108.14,2.183,1,1,-1.21,20.23,108.62
o-Cresol glycidyl ether,-7.588,164.204,2.17,0,2,-2.267,"	21.76",158.16
o-Phenylenediamine,-6.903,108.144,0.315,2,2,-0.983,52.04,106.62
o-t-Butylphenol,-4.685,150.221,3.215,1,1,-2.405,20.23,158.25
Octylparaben,-5.588,250.338,4.775,1,2,-4.638,46.53,254.2
Oleic acid,-6.442,282.468,6.784,1,2,-7.416,37.3,318.84
Ouabain,-9.653,584.659,-2.782,8,11,-0.807,206.6,520.54
Oxprenolol,-6.369,265.353,2.168,2,4,-2.63,50.72,267.35
p-Bromophenol,-4.999,173.009,2.438,1,1,-2.118,20.23,109.95
p-Chlorophenol,-4.996,128.56,2.274,1,1,-1.714,20.23,105.6
p-Cresol,-5.313,108.14,2.183,1,1,-1.439,20.23,108.62
p-Ethylphenol,-5.014,122.167,2.628,1,1,-1.979,20.23,125.42
p-n-Butylphenol,-4.671,150.221,3.517,1,1,-3.051,20.23,159.03
p-Nitrophenol,-5.81,139.11,1.61,1,3,-1.694,"	63.37",115.39
p-Phenylenediamine,-7.176,108.144,0.315,2,2,-0.983,52.04,106.62
Parathion,-7.28,291.26,3.315,0,2,-4.513,70.83,238.28
Phenobarbital,-6.9,232.239,1.406,2,3,-2.232,75.27,204.82
Phenol,-5.586,94.113,1.67,1,1,-0.895,20.23,92.06
Phloroglucinol,-6.066,126.111,1.063,3,3,-0.141,"	60.69",108.1
Prednisolone,-7.906,360.45,1.273,3,5,-3.46,"	94.83",336.88
Pregnenolone,-6.38,316.485,3.581,1,2,-4.819,"	37.3",324.93
Progesterone,-5.255,314.469,4.149,0,2,-5.627,"	34.14",319.07
Propoxur,-6.324,209.245,2.086,1,2,-2.289,"	47.56",199.91
Propanolol,-6.306,259.349,2.584,2,3,-3.7,41.49,257.82
Propanolol-HCl,-7.879,295.81,2.584,2,3,-4.244,41.49,257.82
Propylparaben,-5.41,180.203,2.552,1,2,-2.046,"	46.53",170.19
Pyrogallol,-6.366,126.111,1.063,3,3,-0.141,"	60.69",108.1
Raffinose,-8.208,504.438,-6.3,11,16,0.692,268.68,415.7
Ranitidine,-7.608,314.4,0.991,2,5,-2.359,83.58,288.97
Resorcinol,-6.626,110.112,1.366,2,2,-0.52,"	40.46",100.08
Salicylic acid,-5.76,138.122,1.977,2,3,-1.071,57.53,119.06
Scopolamine,-9.128,303.358,0.895,1,4,-2.079,62.3,277.2
Sucrose,-8.583,342.297,-4.529,8,11,0.402,189.53,283.58
Sufentanil,-6.894,386.55,3.605,0,3,-4.087,32.78,372.9
Terbinafine,-9.556,291.438,5.527,0,1,-6.313,3.24,306.73
Testosterone,-5.856,288.431,3.365,1,2,-4.364,37.3,291.54
Theophylline,-7.125,180.167,-0.769,1,3,-0.961,69.3,150.69
Thymol,-4.77,150.221,3.428,1,1,-2.756,20.23,158.57
Toluene,-3.637,92.141,2.487,0,0,-1.813,0,100.6
Triamcinolone,-8.956,394.439,0.242,4,6,-3.135,115.06,349.53
Triamcinolone acetonide,-8.251,434.504,1.944,2,6,-4.519,93.06,390.25
Trichloroacetic acid,-6.278,163.38,1.529,1,2,-1.932,37.3,96.75
Trichloroacetonitrile,-4.604,144.38,1.587,0,1,-2.09,"	23.79",86.61
Triclosan,-7.269,289.54,4.982,1,1,-5.275,29.46,213.06
Trimethylamine,-7.284,59.112,0.19,0,1,0.902,3.24,75.1
Urea,-7.317,60.056,-1.364,2,1,0.552,69.11,54.2
Water,-6.751,18.015,-0.652,1,1,0.531,25.3,19.33
